,Entity,Day,daily_vaccinations
0,Alabama,2021-01-13,5906
1,Alabama,2021-01-14,7083
2,Alabama,2021-01-15,7478
3,Alabama,2021-01-16,7498
4,Alabama,2021-01-17,7509
5,Alabama,2021-01-18,7517
6,Alabama,2021-01-19,7523
7,Alabama,2021-01-20,7880
8,Alabama,2021-01-21,10517
9,Alabama,2021-01-22,14107
10,Alabama,2021-01-23,16202
11,Alabama,2021-01-24,18294
12,Alabama,2021-01-25,18196
13,Alabama,2021-01-26,17738
14,Alabama,2021-01-27,18178
15,Alabama,2021-01-28,16153
16,Alabama,2021-01-29,14514
17,Alabama,2021-01-30,17271
18,Alabama,2021-01-31,15748
19,Alabama,2021-02-01,15381
20,Alabama,2021-02-02,16703
21,Alabama,2021-02-03,17414
22,Alabama,2021-02-04,18491
23,Alabama,2021-02-05,18526
24,Alabama,2021-02-06,16105
25,Alabama,2021-02-07,15480
26,Alabama,2021-02-08,15622
27,Alabama,2021-02-09,17012
28,Alabama,2021-02-10,18209
29,Alabama,2021-02-11,19258
30,Alabama,2021-02-12,20074
31,Alabama,2021-02-13,20855
32,Alabama,2021-02-14,21417
33,Alabama,2021-02-15,22405
34,Alabama,2021-02-16,20816
35,Alabama,2021-02-17,19174
36,Alabama,2021-02-18,18400
37,Alabama,2021-02-19,24002
38,Alabama,2021-02-20,25111
39,Alabama,2021-02-21,25194
40,Alabama,2021-02-22,24164
41,Alabama,2021-02-23,25489
42,Alabama,2021-02-24,27098
43,Alabama,2021-02-25,27531
44,Alabama,2021-02-26,22104
45,Alabama,2021-02-27,22022
46,Alabama,2021-02-28,21984
47,Alabama,2021-03-01,22111
48,Alabama,2021-03-02,22436
49,Alabama,2021-03-03,22904
50,Alabama,2021-03-04,23916
51,Alabama,2021-03-05,24388
52,Alabama,2021-03-06,24087
53,Alabama,2021-03-07,23947
54,Alabama,2021-03-08,24040
55,Alabama,2021-03-09,24118
56,Alabama,2021-03-10,24827
57,Alabama,2021-03-11,25376
58,Alabama,2021-03-12,26375
59,Alabama,2021-03-13,26935
60,Alabama,2021-03-14,26926
61,Alabama,2021-03-15,27106
62,Alabama,2021-03-16,27331
63,Alabama,2021-03-17,27167
64,Alabama,2021-03-18,25752
65,Alabama,2021-03-19,25356
66,Alabama,2021-03-20,24649
67,Alabama,2021-03-21,24865
68,Alabama,2021-03-22,24693
69,Alabama,2021-03-23,25307
70,Alabama,2021-03-24,25490
71,Alabama,2021-03-25,27004
72,Alabama,2021-03-26,26387
73,Alabama,2021-03-27,26439
74,Alabama,2021-03-28,26634
75,Alabama,2021-03-29,26759
76,Alabama,2021-03-30,26885
77,Alabama,2021-03-31,26617
78,Alabama,2021-04-01,27555
79,Alabama,2021-04-02,28865
80,Alabama,2021-04-03,28769
81,Alabama,2021-04-04,28533
82,Alabama,2021-04-05,28325
83,Alabama,2021-04-06,28468
84,Alabama,2021-04-07,29498
85,Alabama,2021-04-08,29195
86,Alabama,2021-04-09,29696
87,Alabama,2021-04-10,31155
88,Alabama,2021-04-11,31967
89,Alabama,2021-04-12,32519
90,Alabama,2021-04-13,32914
91,Alabama,2021-04-14,33381
92,Alabama,2021-04-15,33007
93,Alabama,2021-04-16,32034
94,Alabama,2021-04-17,30766
95,Alabama,2021-04-18,29953
96,Alabama,2021-04-19,29296
97,Alabama,2021-04-20,28635
98,Alabama,2021-04-21,27377
99,Alabama,2021-04-22,26702
100,Alabama,2021-04-23,26294
101,Alabama,2021-04-24,25832
102,Alabama,2021-04-25,25590
103,Alabama,2021-04-26,25809
104,Alabama,2021-04-27,24561
105,Alabama,2021-04-28,23898
106,Alabama,2021-04-29,23662
107,Alabama,2021-04-30,23076
108,Alabama,2021-05-01,22271
109,Alabama,2021-05-02,21615
110,Alabama,2021-05-03,21299
111,Alabama,2021-05-04,20711
112,Alabama,2021-05-05,20444
113,Alabama,2021-05-06,16178
114,Alabama,2021-05-07,19313
115,Alabama,2021-05-08,20088
116,Alabama,2021-05-09,20784
117,Alabama,2021-05-10,20899
118,Alabama,2021-05-11,18461
119,Alabama,2021-05-12,17244
120,Alabama,2021-05-13,22667
121,Alabama,2021-05-14,19034
122,Alabama,2021-05-15,17613
123,Alabama,2021-05-16,16843
124,Alabama,2021-05-17,16077
125,Alabama,2021-05-18,18807
126,Alabama,2021-05-19,16353
127,Alabama,2021-05-20,15330
