,DATE,RRPONTSYD,YEAR
0,2016-07-29,110.518,2016
1,2016-08-01,72.911,2016
2,2016-08-02,80.535,2016
3,2016-08-03,68.075,2016
4,2016-08-04,50.263,2016
5,2016-08-05,56.235,2016
6,2016-08-08,60.625,2016
7,2016-08-09,66.881,2016
8,2016-08-10,80.174,2016
9,2016-08-11,80.145,2016
10,2016-08-12,37.278,2016
11,2016-08-15,56.95,2016
12,2016-08-16,76.397,2016
13,2016-08-17,81.337,2016
14,2016-08-18,95.089,2016
15,2016-08-19,101.468,2016
16,2016-08-22,116.124,2016
17,2016-08-23,121.654,2016
18,2016-08-24,95.35,2016
19,2016-08-25,72.817,2016
20,2016-08-26,76.532,2016
21,2016-08-29,79.731,2016
22,2016-08-30,101.422,2016
23,2016-08-31,171.368,2016
24,2016-09-01,90.607,2016
25,2016-09-02,96.194,2016
27,2016-09-06,92.733,2016
28,2016-09-07,79.08,2016
29,2016-09-08,60.729,2016
30,2016-09-09,78.784,2016
31,2016-09-12,86.056,2016
32,2016-09-13,83.109,2016
33,2016-09-14,64.485,2016
34,2016-09-15,55.994,2016
35,2016-09-16,100.761,2016
36,2016-09-19,125.636,2016
37,2016-09-20,156.685,2016
38,2016-09-21,176.835,2016
39,2016-09-22,194.053,2016
40,2016-09-23,174.726,2016
41,2016-09-26,200.068,2016
42,2016-09-27,239.7,2016
43,2016-09-28,272.277,2016
44,2016-09-29,271.847,2016
45,2016-09-30,412.523,2016
46,2016-10-03,320.889,2016
47,2016-10-04,306.041,2016
48,2016-10-05,297.964,2016
49,2016-10-06,237.619,2016
50,2016-10-07,226.065,2016
52,2016-10-11,201.546,2016
53,2016-10-12,188.671,2016
54,2016-10-13,180.971,2016
55,2016-10-14,133.359,2016
56,2016-10-17,124.407,2016
57,2016-10-18,174.966,2016
58,2016-10-19,191.81,2016
59,2016-10-20,172.312,2016
60,2016-10-21,181.285,2016
61,2016-10-24,142.574,2016
62,2016-10-25,132.403,2016
63,2016-10-26,142.065,2016
64,2016-10-27,135.113,2016
65,2016-10-28,129.983,2016
66,2016-10-31,214.798,2016
67,2016-11-01,171.89,2016
68,2016-11-02,176.232,2016
69,2016-11-03,148.543,2016
70,2016-11-04,136.483,2016
71,2016-11-07,128.671,2016
72,2016-11-08,127.33,2016
73,2016-11-09,130.993,2016
74,2016-11-10,99.936,2016
76,2016-11-14,81.448,2016
77,2016-11-15,102.247,2016
78,2016-11-16,116.044,2016
79,2016-11-17,92.397,2016
