DATE,RRPONTSYD
7/29/2016,110.518
8/1/2016,72.911
8/2/2016,80.535
8/3/2016,68.075
8/4/2016,50.263
8/5/2016,56.235
8/8/2016,60.625
8/9/2016,66.881
8/10/2016,80.174
8/11/2016,80.145
8/12/2016,37.278
8/15/2016,56.95
8/16/2016,76.397
8/17/2016,81.337
8/18/2016,95.089
8/19/2016,101.468
8/22/2016,116.124
8/23/2016,121.654
8/24/2016,95.35
8/25/2016,72.817
8/26/2016,76.532
8/29/2016,79.731
8/30/2016,101.422
8/31/2016,171.368
9/1/2016,90.607
9/2/2016,96.194
9/5/2016,.
9/6/2016,92.733
9/7/2016,79.08
9/8/2016,60.729
9/9/2016,78.784
9/12/2016,86.056
9/13/2016,83.109
9/14/2016,64.485
9/15/2016,55.994
9/16/2016,100.761
9/19/2016,125.636
9/20/2016,156.685
9/21/2016,176.835
9/22/2016,194.053
9/23/2016,174.726
9/26/2016,200.068
9/27/2016,239.7
9/28/2016,272.277
9/29/2016,271.847
9/30/2016,412.523
10/3/2016,320.889
10/4/2016,306.041
10/5/2016,297.964
10/6/2016,237.619
10/7/2016,226.065
10/10/2016,.
10/11/2016,201.546
10/12/2016,188.671
10/13/2016,180.971
10/14/2016,133.359
10/17/2016,124.407
10/18/2016,174.966
10/19/2016,191.81
10/20/2016,172.312
10/21/2016,181.285
10/24/2016,142.574
10/25/2016,132.403
10/26/2016,142.065
10/27/2016,135.113
10/28/2016,129.983
10/31/2016,214.798
11/1/2016,171.89
11/2/2016,176.232
11/3/2016,148.543
11/4/2016,136.483
11/7/2016,128.671
11/8/2016,127.33
11/9/2016,130.993
11/10/2016,99.936
11/11/2016,.
11/14/2016,81.448
11/15/2016,102.247
11/16/2016,116.044
11/17/2016,92.397
11/18/2016,116.091
11/21/2016,135.387
11/22/2016,128.222
11/23/2016,119.371
11/24/2016,.
11/25/2016,121.165
11/28/2016,146.903
11/29/2016,138.401
11/30/2016,208.524
12/1/2016,159.215
12/2/2016,167.881
12/5/2016,168.369
12/6/2016,185.55
12/7/2016,185.812
12/8/2016,186.313
12/9/2016,185.799
12/12/2016,189.33
12/13/2016,238.46
12/14/2016,169.563
12/15/2016,199.654
12/16/2016,213.706
12/19/2016,237.525
12/20/2016,277.354
12/21/2016,307.477
12/22/2016,312.338
12/23/2016,280.643
12/26/2016,.
12/27/2016,294.061
12/28/2016,323.912
12/29/2016,346.472
12/30/2016,468.355
